timestamp,source_ip,dest_ip,username,event_type,action,status,port,protocol,bytes_sent,bytes_received
2024-01-01 00:03:33,10.0.4.18,10.0.2.8,,network,connect,success,53,http,409254,763416
2024-01-01 00:07:23,10.0.1.14,10.0.4.4,,network,connect,success,443,dns,939157,1532280
2024-01-01 00:15:33,10.0.2.16,10.0.3.20,,network,connect,success,25,ftp,384741,1127118
2024-01-01 00:28:17,10.0.3.8,10.0.2.19,,network,connect,success,53,ssh,944000,2059273
2024-01-01 00:28:34,10.0.4.5,10.0.2.15,,network,connect,success,8443,ftp,813486,692331
2024-01-01 00:29:06,10.0.4.24,10.0.4.15,,network,connect,success,80,http,379384,907974
2024-01-01 00:29:40,10.0.3.14,10.0.3.11,,network,connect,success,59393,ssh,985079,963873
2024-01-01 00:32:20,10.0.1.10,10.0.4.14,,network,connect,success,22,https,828922,2002993
2024-01-01 00:42:51,10.0.1.3,10.0.0.2,,network,connect,success,80,ssh,1188775,3048543
2024-01-01 00:50:37,10.0.4.7,10.0.3.23,,network,connect,success,21,ftp,488197,1023785
2024-01-01 01:07:47,10.0.1.12,10.0.4.22,,network,connect,success,6379,http,702503,1855514
2024-01-01 01:07:57,10.0.2.7,10.0.3.6,,network,connect,success,53,http,1035219,782512
2024-01-01 01:08:15,10.0.3.18,10.0.0.1,,network,connect,success,3306,dns,388938,758201
2024-01-01 01:09:51,10.0.3.20,10.0.3.22,,network,connect,success,3306,smtp,423854,517404
2024-01-01 01:24:23,10.0.1.12,10.0.2.6,,network,connect,success,8443,dns,1166166,2809823
2024-01-01 01:25:51,10.0.1.11,10.0.4.3,,network,connect,success,443,ftp,1397048,3165272
2024-01-01 01:29:09,10.0.2.13,10.0.1.19,,network,connect,success,3306,http,1152345,771139
2024-01-01 01:44:51,10.0.2.17,10.0.0.2,,network,connect,success,21,https,1105379,2645365
2024-01-01 01:47:25,10.0.1.8,10.0.2.14,,network,connect,success,21,dns,1068136,1784521
